alpha,epsilon,num_trials,num_success,good_ratio,rate_reliability,avg_reward,net_return_Saf-Rel
0.73,0.049,10,5,0.9904306220095693,0.5,25.83479568402837,0.7452153110047847
0.73,0.05,10,0,1.0,0.0,27.859361870634437,0.5
0.73,0.1,10,5,0.9827586206896551,0.5,17.378438109507552,0.7413793103448276
0.73,0.3,10,6,1.0,0.6,26.35511518706495,0.8
0.8,0.039,10,0,0.9911111111111112,0.0,24.19845760736841,0.4955555555555556
0.8,0.04,10,0,0.9956521739130435,0.0,26.20900284619223,0.49782608695652175
0.8,0.043,10,2,1.0,0.2,26.528605760228167,0.6
0.8,0.056,10,6,0.9539473684210527,0.6,18.66807177516599,0.7769736842105264
0.8,0.049,10,0,0.9957446808510638,0.0,30.727607628139832,0.4978723404255319
0.8,0.05,10,7,1.0,0.7,26.668485164858463,0.85
0.8,0.1,10,1,0.9952830188679245,0.1,23.753810119265317,0.5476415094339623
0.8,0.3,10,0,0.9866666666666667,0.0,24.70058980668141,0.49333333333333335
0.96,0.039,10,6,0.9613259668508287,0.6,13.194716942611887,0.7806629834254144
0.96,0.04,10,0,0.9545454545454546,0.0,17.671627581097823,0.4772727272727273
0.96,0.043,10,0,0.8627450980392157,0.0,-25.74092285944216,0.43137254901960786
0.96,0.056,10,0,0.7702127659574468,0.0,-3.845719241617092,0.3851063829787234
0.96,0.049,10,6,1.0,0.6,28.146696871058555,0.8
0.96,0.05,10,3,1.0,0.3,27.352315982945164,0.65
0.96,0.1,10,3,1.0,0.3,32.55656833612702,0.65
0.96,0.3,10,0,1.0,0.0,28.15749404926321,0.5
0.97,0.039,10,0,1.0,0.0,28.899780993436583,0.5
0.97,0.04,10,7,1.0,0.7,30.702093876407226,0.85
0.97,0.043,10,0,0.996078431372549,0.0,30.797828497828476,0.4980392156862745
0.97,0.056,10,3,1.0,0.3,29.010683580061375,0.65
0.97,0.049,10,5,1.0,0.5,30.718009556335943,0.75
0.97,0.05,10,5,0.9902912621359223,0.5,25.28780332573476,0.7451456310679612
0.97,0.1,10,1,1.0,0.1,27.872821073825445,0.55
0.97,0.3,10,7,0.9945054945054945,0.7,26.322824209422333,0.8472527472527472
0.989,0.039,10,8,0.975609756097561,0.8,16.043787291838953,0.8878048780487805
0.989,0.04,10,5,0.9956140350877193,0.5,33.87305260550365,0.7478070175438596
0.989,0.043,10,6,1.0,0.6,26.424642110725937,0.8
0.989,0.056,10,0,1.0,0.0,25.30584343247792,0.5
0.989,0.049,10,0,0.9954545454545455,0.0,27.82430772067146,0.49772727272727274
0.989,0.05,10,0,1.0,0.0,30.296141699736314,0.5
0.989,0.1,10,0,0.9906976744186047,0.0,25.082156534589537,0.49534883720930234
0.989,0.3,10,7,1.0,0.7,23.143420372179918,0.85
0.99,0.039,10,0,1.0,0.0,35.10333989871606,0.5
0.99,0.04,10,0,0.9956521739130435,0.0,27.773706935651262,0.49782608695652175
0.99,0.043,10,1,0.9910714285714286,0.1,26.291977155280073,0.5455357142857143
0.99,0.056,10,0,1.0,0.0,33.01850914621902,0.5
0.99,0.049,10,0,1.0,0.0,27.346100696457096,0.5
0.99,0.05,10,1,0.9960629921259843,0.1,31.83650629785697,0.5480314960629922
0.99,0.1,10,0,0.9956521739130435,0.0,27.951376147643522,0.49782608695652175
0.99,0.3,10,0,0.9927272727272727,0.0,30.21853525919057,0.49636363636363634
0.991,0.039,10,2,1.0,0.2,33.24004077096759,0.6
0.991,0.04,10,3,0.9957805907172996,0.3,31.63496665579268,0.6478902953586498
0.991,0.043,10,8,1.0,0.8,24.84438075705016,0.9
